train_size,iter,test_point,lm_pred,dtree_pred,true_dtree_pred,label
32,0,0,0,0,0,1.0
32,0,1,0,0,0,0.0
32,0,2,0,1,0,0.0
32,0,3,1,0,0,1.0
32,0,4,0,0,0,0.0
32,0,5,0,0,0,0.0
32,0,6,0,1,0,0.0
32,0,7,0,0,0,0.0
32,0,8,1,0,0,1.0
32,0,9,1,0,1,1.0
32,0,10,0,0,0,0.0
32,0,11,1,1,1,0.0
32,0,12,1,1,1,0.0
32,0,13,0,0,0,1.0
32,0,14,1,1,1,1.0
32,0,15,0,0,0,0.0
32,0,16,0,0,0,0.0
32,0,17,0,0,0,0.0
32,0,18,1,1,1,1.0
32,0,19,0,1,0,0.0
32,0,20,0,0,0,0.0
32,0,21,0,0,0,0.0
32,0,22,0,0,0,1.0
32,0,23,1,1,1,1.0
32,0,24,1,1,1,1.0
32,0,25,0,0,0,0.0
32,0,26,0,0,1,1.0
32,0,27,1,0,1,1.0
32,0,28,1,0,1,1.0
32,0,29,0,0,0,0.0
32,0,30,1,0,1,0.0
32,0,31,0,0,0,0.0
32,0,32,1,0,0,0.0
32,0,33,0,0,0,0.0
32,0,34,1,1,1,1.0
32,0,35,0,0,0,0.0
32,0,36,0,0,0,0.0
32,0,37,0,0,0,0.0
32,0,38,0,0,0,0.0
32,0,39,1,1,1,1.0
32,0,40,0,0,1,1.0
32,0,41,1,1,1,1.0
32,0,42,0,0,0,0.0
32,0,43,0,0,0,0.0
32,0,44,1,1,1,1.0
32,0,45,1,1,1,1.0
32,0,46,0,0,0,0.0
32,0,47,0,0,0,0.0
32,0,48,1,1,1,1.0
32,0,49,0,0,0,0.0
32,0,50,1,1,1,1.0
32,0,51,0,0,0,0.0
32,0,52,1,0,1,1.0
32,0,53,1,1,1,1.0
32,0,54,0,0,0,1.0
32,0,55,0,0,0,0.0
32,0,56,1,1,1,1.0
32,0,57,0,0,0,0.0
32,0,58,0,0,0,1.0
32,0,59,0,0,0,0.0
32,0,60,1,1,0,0.0
32,0,61,1,0,0,0.0
32,0,62,1,1,0,0.0
32,0,63,1,1,1,1.0
32,0,64,0,0,0,0.0
32,0,65,0,0,0,0.0
32,0,66,0,0,0,1.0
32,0,67,1,1,1,1.0
32,0,68,0,0,0,0.0
32,0,69,0,0,0,0.0
32,0,70,1,1,1,1.0
32,0,71,1,0,0,0.0
32,0,72,1,1,0,0.0
32,0,73,0,1,0,0.0
32,0,74,0,0,0,0.0
32,0,75,1,1,1,1.0
32,0,76,1,0,0,1.0
32,0,77,0,0,0,0.0
32,0,78,0,0,0,1.0
32,0,79,1,0,1,1.0
32,0,80,0,0,0,1.0
32,0,81,0,0,0,0.0
32,0,82,0,0,0,0.0
32,0,83,1,1,1,1.0
32,0,84,0,0,0,0.0
32,0,85,1,1,1,1.0
32,0,86,0,0,0,0.0
32,0,87,0,0,0,0.0
32,0,88,0,0,0,0.0
32,0,89,0,0,0,0.0
32,0,90,1,1,1,1.0
32,0,91,1,0,1,0.0
32,0,92,0,0,0,1.0
32,0,93,0,0,0,1.0
32,0,94,0,0,0,0.0
32,0,95,0,0,0,0.0
32,0,96,1,0,1,1.0
32,0,97,1,1,1,1.0
32,0,98,0,0,0,1.0
32,0,99,0,0,0,0.0
32,0,100,0,0,0,0.0
32,0,101,1,1,1,1.0
32,0,102,0,0,0,0.0
32,0,103,0,0,0,0.0
32,0,104,0,0,0,1.0
32,0,105,0,0,0,1.0
32,0,106,0,0,0,0.0
32,0,107,1,1,1,1.0
32,0,108,1,1,1,1.0
32,0,109,0,0,0,1.0
32,0,110,0,0,0,0.0
32,0,111,0,0,0,1.0
32,0,112,1,1,0,1.0
32,0,113,0,0,0,0.0
32,0,114,0,0,0,0.0
32,0,115,0,0,0,0.0
32,0,116,1,0,0,1.0
32,0,117,1,1,1,1.0
32,0,118,1,0,1,0.0
32,0,119,0,0,0,0.0
32,0,120,0,1,0,1.0
32,0,121,1,1,1,1.0
32,0,122,0,0,0,1.0
32,0,123,0,0,0,0.0
32,0,124,1,1,1,1.0
32,0,125,0,0,0,0.0
32,0,126,0,0,0,1.0
